670	0.0315	0.0001	0.0000	0.0155	0.0057	0.0000	0.7322	0.2678	0.0000
675	0.0229	0.0001	0.0000	0.0113	0.0041	0.0000	0.7313	0.2687	0.0001
680	0.0169	0.0000	0.0000	0.0083	0.0030	0.0000	0.7347	0.2653	0.0000
685	0.0119	0.0000	0.0000	0.0058	0.0021	0.0000	0.7347	0.2653	0.0000
690	0.0082	0.0000	0.0000	0.0040	0.0015	0.0000	0.7347	0.2653	0.0000
695	0.0057	0.0000	0.0000	0.0028	0.0010	0.0000	0.7347	0.2653	0.0000
700	0.0041	0.0000	0.0000	0.0020	0.0007	0.0000	0.7347	0.2653	0.0000
705	0.0029	0.0000	0.0000	0.0014	0.0005	0.0000	0.7347	0.2653	0.0000
710	0.0021	0.0000	0.0000	0.0010	0.0004	0.0000	0.7347	0.2653	0.0000
715	0.0015	0.0000	0.0000	0.0007	0.0003	0.0000	0.7347	0.2653	0.0000
720	0.0011	0.0000	0.0000	0.0005	0.0002	0.0000	0.7347	0.2653	0.0000
725	0.0007	0.0000	0.0000	0.0003	0.0001	0.0000	0.7347	0.2653	0.0000
730	0.0005	0.0000	0.0000	0.0002	0.0001	0.0000	0.7347	0.2653	0.0000
735	0.0004	0.0000	0.0000	0.0002	0.0001	0.0000	0.7347	0.2653	0.0000
740	0.0003	0.0000	0.0000	0.0001	0.0001	0.0000	0.7347	0.2653	0.0000
745	0.0002	0.0000	0.0000	0.0001	0.0000	0.0000	0.7347	0.2653	0.0000
750	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.7347	0.2653	0.0000
755	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.7347	0.2653	0.0000
760	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.7347	0.2653	0.0000
